date,username,tweet
2022-02-13 00:37:29,RavynSkye2, in case you haven t realized  that s mostly rcmp response teams   the government doesn t care about you  because you don t have a bridge worth billions in trade   but you think the government cares about your health and well being when it comes to covid   adorable 
2022-02-13 00:37:28,MeridithOram, would you consider answering my covid   i had  pcr on       then  pcr on      symptoms gone  now symptoms back  or again  and   rapid test  is it a new infection or the same one  triple boosted  n  s all the time  thanks for considering  thanks for leading the way 
2022-02-13 00:37:28,doc_synapse,is covid over  tata bye bye moment 
2022-02-13 00:37:28,JamesMerolla, come back to wilkes barre where the city just used covid relief money to build a shitty ice rink in the middle of public square
2022-02-13 00:37:28,chudwn2,     covid hit n i m just getting shit in gears
2022-02-13 00:37:28,R_Quincy_ME, sono un non vaccinato che ha preso il covid in maniera asintomatica  il trattamento genico sperimentale sarebbe per me stato inutile  il vaccino non immunizza   ci si contagia e si infetta al pari di un non vaccinato
2022-02-13 00:37:27,NadiaAlix,china approves use of pfizer s covid drug paxlovid   business recorder  
2022-02-13 00:37:27,ZerounoTv,covid  in sicilia       nuovi contagi e    morti  
2022-02-13 00:37:27,ZerounoTv,covid         nuovi casi e     decessi in    ore  
2022-02-13 00:37:27,3ntrepreneur1,  it s an interesting topic  but still not because to mandate vaccines   variations and mutations will continue regardless  zero covid is not possible evidently so it s almost moot   it s important we remain open minded to different types of treatment too 
2022-02-13 00:37:27,traffickedout,the struggle is real tell your daughters is a huge ongoing crime wave   i know   other women they did it to  there s another activist on twitter who saw it coming in the after math of covid  single women easy prey  
2022-02-13 00:37:27,gillefond,  actually it did  our research team tried to do a study on long term flu vs covid symptoms and there weren t enough flu patients to study  we ve learned that it makes sense to cont to mask during flu seasons to avoid getting sick from that in future 
2022-02-13 00:37:27,almost_bill,non parlo con chi non   bloccato da eric ding  panic covid
2022-02-13 00:37:26,QudachCA,a total of     people with covid    have now died in new brunswick  according to the latest numbers on the province s covid    dashboard   
2022-02-13 00:37:26,iamwhitneygayle,so pretty much la this weekend has solidified the official end of covid and masks  superbowl
2022-02-13 00:37:26,keogh_glenn,  when i went to collect   i forgot my itin  explained i received it in aria the year prior to covid but said there s nothing i could do and that i had to ring the tax office over there  i just went to aria to the cashiers desk and they had it on the system   took them   secs 
2022-02-13 00:37:25,HausVonz,  that the vaccines are actually   gene therapy    or that ivermectin is useful for treating covid  even though the manufacturer explicitly warns against using it   any other questions   face with rolling eyes   
2022-02-13 00:37:25,pabucumunvirusu, derhal yumurta pandemisi getirile  tez vakitte t m yumurtalar imha edile  aa yumurta diyince bizim covid sava   s  memmed akl ma geldi  tavuklara  zel bir ilgisi vard  onun bir s yliyim bakim  bill zibidisinin sana yeni bir i  teklifi varm   diyeyim ilgisini  ekecek mi bakal m 
2022-02-13 00:37:24,LucioRey17, pero tenemos que hacer que la tragedia no sea mayor   tenemos que unirnos y quitar a este gobierno   que ya sido m s da ino   despiadado y caro que el mismo covid
2022-02-13 00:37:24,sadgalpriri,fyi  for anyone who took time off due to covid unpaid   
2022-02-13 00:37:24,sebastianhm04,el deporte favorito del covid es arruinar planes  smiling face with tear 
2022-02-13 00:37:24,UsernamePass7,  je pense que c  tait une tentative bidon de se servir du covid pour reporter les  lections ou de se maintenir de force  mais vu que le virus est devenu un rhume  il ne peut plus trafiquer les  lections  ils ont essay  d imposer le vote   correspondance mais  a n a pas march 
2022-02-13 00:37:24,linus08150,auf die fresse oder in die fresse  mit oder an covid prien
2022-02-13 00:37:23,ATL_Test_Watch,covid test available today at cvs       lawrenceville highway  decatur  ga        at      pm      pm      pm      pm      pm      pm      pm      pm      pm      pm      pm      pm      pm    
2022-02-13 00:37:23,FerPinke, sem covid e sem a petralhada 
2022-02-13 00:37:22,seo_zoom,china approves use of pfizer s covid drug paxlovid   business recorder  
2022-02-13 00:37:22,medicionverdad, les va a pedir ximo puig a todos el pasaporte covid   ah no  que es sociata  entonces todos callados  como haya alguna propaganda electoral soterrada por parte del gremio subvencionado eso estar a fuera de lugar 
2022-02-13 00:37:22,milabigiu,seconda parte comunicato pfizer agli azionisti prevede utili in netto calo a causa dell insicurezza del siero covid    e della fine della psicopandemia  crolla la farsa e ora cosa faranno i tiranni  togliete tutte le restrizioni e ridate le libert  ai popoli   
2022-02-13 00:37:22,ElioAlmaguer2,  el desempe o d cuba en relaci n a la vacunaci n anti covid    se destaca tanto entre los pa ses en desarrollo como en el mundo en su conjunto  reconoci  un sitio especializado   
2022-02-13 00:37:22,jwitker,  vaccine overwhelmingly prevents progression to covid pneumonia and and hyper immune inflammatory phase  which happens in absence of adaptive immunity  which causes vascular and other systemic disease 
2022-02-13 00:37:22,mybxvt,ses falan kalmad   ba  m  g   s kafesim ve bo az m  ok a r yor  umar m covid perileri de ildir
2022-02-13 00:37:21,Christi67545687, simple  masks hurt no one but can help millions from spreading or catching covid  wear masks until the virus cases decline dramatically and stay there   i ask those against masks if when they have surgery do they want the nurses  surgeons  anesthesiologists to wear gloves  amp  masks
2022-02-13 00:37:21,showtacyan20,                         face with open mouth         grinning face with sweat                                                      pouting face  pouting face  pouting face                          cozy             jolf               
2022-02-13 00:37:21,letteragi,covid  il bollettino della sicilia del    febbraio  scendono solo i ricoveri        nuovi casi       casi  in provincia di caltanissetta  
2022-02-13 00:37:21,longcovidadvoc1, it came on after covid though yet they dismissed longcovid  these diagnoses do overlap but they should still possibly consider covid as an issue not dismiss  but amazing ignorance that it wasn t around when they were young of course it was just not talked about and stigmatized
2022-02-13 00:37:21,Hippie_Amish, i am vaccinated  mandated at my hospital    i did have chest pains for a month afterwards   as a bedside nurse  i have seen many cardiac side effects   but i have also seen it help keep severe covid patients off the ventilator   i think it should be an individual choice 
2022-02-13 00:37:21,pecaro1,los del pa s todav a no saben que el covid no es un v  el virus se llama sars cov   este es el nivel  su  nica pretensi n es extender propaganda falaz  pseudocient fica y generadora de odio y distanciamiento social  claro  les pagan para ello   
2022-02-13 00:37:21,unofficialmagna,  from   for       raising hands light skin tone   we continue our red hot form  amp  run riot with a     win today to  reserves   soccer ball   with  st team manager  amp  goalkeeper  away with covid things could have been tricky but the boys more than delivered on the pitch  clapping hands light skin tone    yellow heart  black heart  yellow heart  black heart 
2022-02-13 00:37:20,genabeeps,for those of you who still believe this is about stopping the spread of covid 
2022-02-13 00:37:20,lokeshmadan444,what was the most effective method of controlling covid cases in india 
2022-02-13 00:37:20,pacurro55,blog de paqurro   covid tesorillo  continua el descenso en contagios  
2022-02-13 00:37:20,fckdatgoose7, fuck covid   hope you get better homie  
2022-02-13 00:37:20,HonyoustMary, tell me gym  do you believe drinking disinfectant will get rid of covid  how about drinking your own pee  so you must believe horse dewormer works  are you among those waiting in texas for the dead jfk and his son to return 
2022-02-13 00:37:19,nertz007, and for all of you people who call yourself reporters  the initial intent was to go to parliament and be heard  trudeau goes into hiding for    days covid ya right  then he calls me my son wife my gdaughter  my gson  my daughter a bunch of racists  and the genie is out 
2022-02-13 00:37:19,LlcSamgo1,how do you keep invisible viruses from touching your face or mask   protection against covid airborne aerosols with or without using a n   mask   simplicity makes it unbelievable and physics makes it tangible   
2022-02-13 00:37:18,CraftyMoni,feeling tired but don t know if it s covid or just not a good nights sleep  woman shrugging 
2022-02-13 00:37:18,yeatsdf,  first of all the hospitals listed in your picture are specialized  i m not sure what a rehabilitation hospital would do with covid patients   second the four hospitals listed  includes a children s hospital  a military hospital  and a tiny hospital with less than     beds 
2022-02-13 00:37:17,eclipseborn,numbers are the eastest thing to manipulate   cases cases cases   but how many died from covid and not just with a positive test result that is stated faulty by the cdc    ahh we don t have that number  now be afraid of more case numbers   so stupid 
2022-02-13 00:37:17,GreyReylo, one word   no  enough is enough  my body is not a science experiment  amp   i ll take my chances with covid  we have an immune system for a reason
2022-02-13 00:37:17,WalterGeeSpot,  what are the right cohorts for the covid vax 
2022-02-13 00:37:17,SoaringEagles50, covid vaccine has hiv proteins 
2022-02-13 00:37:17,DIVINEFXMININE, it also depends on the lft you re using  the nasal only ones are thin lines   i don t know anyone who s managed to get out early  i had covid in december so the rules were       days iso no matter what but i did daily testing for my own bit of research i guess   
2022-02-13 00:37:17,gnfsunshine,bbh saying his arm hurt when he had covid is making me really anxious about my arm aching rn lol
2022-02-13 00:37:16,ClimateRealists,riot police fire tear gas and use batons on freedom convoy demonstrators as they bring paris to a halt in protest against covid rules and soaring energy prices  via 
2022-02-13 00:37:16,esjay100, crazy exists on both sides   but dem crazy is currently making covid policy
2022-02-13 00:37:16,fivekidsnadog,  hospital capacity is an issue because of unscientific decisions to fire unvaxed  our hospital fired all of them  only to turn around and rehire them as all their vaxed workers got covid 
2022-02-13 00:37:16,RibSte,podem fazer  assim como todo mundo hj them dia faz exame de covid antes de gravar  o que n o garante      que as pessoas n o correm risco  a novela pantanal ser parada mesmo com testes  vacina  o e etc mostra isso  teste n o garante      de seguran a 
2022-02-13 00:37:16,SWAMPROCKIN,    you ever just cough so hard your chest feels like it s ringing  yeah i m having a bad time  and this ain t even covid  moai 
